,link,most_freq_positioning
0,,bottom
1,"""6 villages for 2006",center-bottom
2,"""6 villages for 2006""",center-top
3,"""capitalist rule""",top
4,"""consumption"" (tuberculosis)",top
5,"""glorious revolution""",center-top
6,"""grave""",center-top
7,"""law of queen anne""",center
8,"""name and anagram""",top
9,"""nostalgic tram"" no. 91",center-bottom
10,"""popular"" or pop culture",center-top
11,"""ruffian dick""",top
12,"""stop press...""",center
13,"""the wanderer""",center-bottom
14,"""trinity"" test",center-top
15,"""world-class cities""",top
16,#details of vowel pointing,bottom
17,$,bottom
18,$1,center
19,$us,center
20,'a year of charity fundraising',center-bottom
21,'change a child’s life today',center-bottom
22,'colour blind',center-bottom
23,(france),center-bottom
24,(image),bottom
25,(society of) friends,top
26,(uk),center-bottom
27,-pict,center-top
28,04/08/06 - the trauma of war,center
29,09/08/06 - closure of refugee centre in syria,center
30,09/08/06 - surviving in lebanon,center
31,1 ceres,center-top
32,1000,center-bottom
33,10th,top
34,10th centuries,top
35,10th century,top
36,10th report,center-bottom
37,11 september 2001,center-top
38,116,center
39,118,center-top
40,11th,center-bottom
41,11th centuries,top
42,11th century,top
43,11th report,center-bottom
44,12th,top
45,12th century,top
46,13,center-top
47,1300s,bottom
48,13th,top
49,13th centuries,center
50,13th century,top
51,14/07/06 - bombings in palestinian territories take their toll,bottom
52,14/07/06 - evacuations in beirut,center-bottom
53,14th,top
54,14th amendment,top
55,14th centuries,center-top
56,14th century,top
57,14th-century,bottom
58,15th,top
59,15th centuries,top
60,15th century,top
61,15th century ad,center-bottom
62,15th marine expeditionary unit,bottom
63,15th-century,center-top
64,16 cygni b,top
65,16 cygni bb,bottom
66,1600s,top
67,16th,top
68,16th centuries,top
69,16th century,top
70,16th-century,top
71,1755 lisbon earthquake,center-bottom
72,17th,top
73,17th centuries,top
74,17th century,top
75,17th-century,top
76,1896,bottom
77,1896 olympics,bottom
78,1896 summer olympics,top
79,18th,top
80,18th centuries,top
81,18th century,top
82,18th-century,center
83,18th century,center
84,19,center-top
85,1917 revolution,center
86,1917 russian revolution,top
87,1919 treaty of versailles,center-bottom
88,192 schools,top
89,1928 okeechobee hurricane,center-top
90,1970s oil crisis,top
91,1973,center
92,1973 energy crisis,top
93,1973 oil crisis,center
94,1980 eruption of mount st. helens,center
95,1984,bottom
96,1996 mount everest,center-bottom
97,1999,center-top
98,19th,top
99,19th centuries,top
100,19th century,top
101,19th-,bottom
102,19th-century,top
103,19th-century europe,top
104,19th century,center
105,1st,center-top
106,1st centuries bc,center-top
107,1st century,top
108,1st century ad,top
109,1st century bc,center-top
110,2,top
111,2 pac,center-top
112,2-6-0,center
113,2-8-0,center
114,2000,center-top
115,2003 atlantic hurricane season,top
116,2003 season,bottom
117,2004,center-top
118,2004 atlantic hurricane season,top
119,2004 indian ocean earthquake,bottom
120,2004 indian ocean tsunami,center
121,2004 season,top
122,2005,top
123,2005 atlantic hurricane season,top
124,2005 atlantic season,center-bottom
125,2005 kashmir earthquake,center-bottom
126,2005 katrina,top
127,2005 season,top
128,2005 sumatra earthquake,top
129,2007 keepy uppy challenge,center
130,209bi,center-top
131,20th,top
132,20th centuries,top
133,20th century,top
134,20th century poetry,top
135,20th-century,top
136,21st,bottom
137,21st century,center
138,21st-century,bottom
139,226ra,center-bottom
140,234pa,center-bottom
141,234th,center-bottom
142,239pu,center-top
143,24/07/06 - ever more tense situation in lebanon,center-bottom
144,26/07/06 - children remain top priority,center-bottom
145,27/07/06 - supporting refugees in syria,center-bottom
146,2nd century,top
147,2nd report,center-bottom
148,2pac,center-bottom
149,3 juno,center-top
150,"3.5"" floppy disk drives",bottom
151,31/07/06 - help for refugees in lebanon,center
152,3rd century,bottom
153,3rd report,center
154,4 vesta,center-top
155,4-2-0,top
156,4-2-0s,center-top
157,4-4-0,center-bottom
158,4-4-0s,center-top
159,4-6-0,center-top
160,40ar,center
161,40ca,center
162,47 ursae majoris,top
163,47 ursae majoris b,center-top
164,47 ursae majoris c,center-bottom
165,4th,top
166,4th century,top
167,4th longest river in the world,top
168,4th longest river system,top
169,4th report,center-bottom
170,50 states,top
171,541 bc,center-bottom
172,55 cancri,bottom
173,55 cancri a,top
174,55 cancri b,center-top
175,55 cancri c,center
176,55 cancri d,center-top
177,55 cancri e,center
178,5th,center-top
179,5th century,top
180,5th century a.d.,center
181,5th report,bottom
182,5th-century,top
183,6 for 2006,center-top
184,6 villages for 2006,center
185,6th centuries,center-top
186,6th century,top
187,6th report,center
188,747,top
189,7th,top
190,7th centuries,top
191,7th century,top
192,7th report,center-bottom
193,7th-century,top
194,8th,top
195,8th centuries,top
196,8th century,top
197,8th century ad,center-top
198,8th report,center
199,9/11,center
200,9/11 attacks,center-top
201,9/11 terrorist attacks on the united states,center
202,90377 sedna,center
203,99.94,top
204,9th,top
205,9th century,top
206,9th report,center-bottom
207,[john] adams,center-top
208,a,bottom
209,a board and pieces,center-top
210,a cappella,top
211,a child photography project,center
212,a christmas carol,center-top
213,a classic response,center-top
214,a day in imogiri,center-bottom
215,a fictional neighbourhood in new york city,top
216,a letter from the chief executive,center-top
217,a look,center-bottom
218,a man-down,top
219,a much more limited number of dutch dialects,bottom
220,a related conflict with poland,top
221,a tale of a tub,center
222,a to z of fundraising,center-top
223,a year of charity fundraising,center-bottom
224,a year on,center
225,a-z of fundraising,center-top
226,a.d.,top
227,a380,center
228,a3xx,center-top
229,aaa980@peterborough.gov.uk,center
230,aachen,top
231,aardvark,center
232,aardvarks,center-bottom
233,aarhus,center-top
234,abacus,top
235,abadan,bottom
236,abbasid,top
237,abbasid caliphate,center-bottom
238,abbasid dynasty,top
239,abbasids,top
240,abbey,top
241,abbey theatre,top
242,abbeys,center-top
243,abbot,top
244,abbots,center-top
245,abbots of westminster,center-top
246,abbāsid,center-bottom
247,abel janszoon tasman,top
248,abel tasman,top
249,aberdeen,top
250,aberration of light,bottom
251,aberystwyth,bottom
252,abhidhamma pitaka,bottom
253,abidjan,top
254,abkhazia,center-top
255,able archer 83,top
256,abo,top
257,abo blood group system,top
258,abo group,top
259,about child sponsorship,center
260,about remembering our charity,center-bottom
261,above,center-bottom
262,abraham lincoln,top
263,absinthe,top
264,absolute zero,top
265,absolutist,center-bottom
266,abstract,top
267,abstract art,center
268,abu dhabi,top
269,abuja,top
270,abyssinia,bottom
271,ac,center-top
272,accelerate,top
273,accelerated,center
274,accelerates,center
275,acceleration,top
276,accelerations,center-top
277,accident,top
278,account,center-bottom
279,accountancy,center
280,accountant,center
281,accra,center-bottom
282,acetic acid,center-top
283,acetone,center
284,achilles,top
285,acid rain,center-bottom
286,acorn computers,center-top
287,act of terrorism,center
288,act of union,bottom
289,actinium,center-bottom
290,action potential,center
291,action potentials,center
292,actor,top
293,actors,top
294,actress,top
295,acts of union,top
296,acts of union 1707,top
297,acts of war,top
298,ad,top
299,adam smith,center-bottom
300,adam smith's,center-top
301,addis ababa,center
302,adelaide,top
303,adenosine triphosphate,top
304,adhd,center-bottom
305,"admiral horatio nelson, 1st viscount nelson",top
306,admiral lord nelson,center
307,admiral nelson,center
308,admitted into the union,top
309,adolf hitler,top
310,adonai,bottom
311,adult literacy programs,center
312,advertise,center-top
313,advertisements,top
314,advertising,top
315,advocacy arguments,center-top
316,ad 122,center-top
317,aeroengines,top
318,aesthetic,top
319,aesthetic theory,center-bottom
320,aesthetically appealing,center
321,aesthetics,top
322,aether theories,center-top
323,afghan,center-top
324,afghan hounds,center-bottom
325,afghani,center
326,afghanistan,center-bottom
327,afghans,top
328,aforementioned example,center
329,africa,top
330,africa aids orphan projects,top
331,africa charity,top
332,africa child sponsorship,center
333,africa sponsorship options,center
334,africa's,bottom
335,africa's largest lake,bottom
336,african,top
337,african aids orphans,center
338,african buffalo,center-top
339,african clawed frog,bottom
340,african continent,top
341,african dwarf frog,center-top
342,african great lakes,center-top
343,african grey parrot,center-bottom
344,african greys,center-bottom
345,african lions,center-top
346,african mainland,bottom
347,african penguin,top
348,african penguins,center
349,african slave routes,top
350,african slave trade,top
351,african slaves,bottom
352,african union,top
353,african wild dog,top
354,african wild dogs,center-top
355,africans,top
356,afrikaans,center-top
357,ag,center-top
358,agamemnon,center
359,age of enlightenment,top
360,age of reason,bottom
361,aggregator,top
362,aggregators,top
363,agnostic,center
364,agnosticism,center-top
365,agnostics,center
366,agrarian,top
367,agricultural,top
368,agricultural activity,center-top
369,agricultural practices,center
370,agricultural products,center-bottom
371,agricultural work,bottom
372,agriculturalists,center-bottom
373,agriculturally,center
374,agriculture,top
375,agriculturist,top
376,aids,top
377,"aids   orphan projects in benin, africa",center
378,aids africa,center-top
379,aids africa best practice,top
380,aids africa projects,center
381,aids in africa,center-top
382,"aids orphan projects in angola, africa",center
383,"aids orphan projects in botswana, africa",center
384,"aids orphan projects in burundi, africa",center
385,"aids orphan projects in cameroon, africa",center
386,aids orphan projects in south africa.,center-bottom
387,aids orphan projects in zambia.,center
388,aids orphan projects in zimbabwe.,center-bottom
389,aids orphans,center-top
390,aids orphans across africa,center
391,aids orphans in angola,center
392,aids orphans in benin,center
393,aids orphans in botswana,center
394,aids orphans in burundi,center
395,aids orphans in cameroon,center
396,aids orphans in congo,center
397,aids orphans in ethiopia,center
398,aids orphans in ghana,center
399,aids orphans in guinea,center
400,aids orphans in guinea bissau,center
401,aids orphans in kenya,center
402,aids orphans in lesotho,center
403,aids orphans in liberia,center
404,aids orphans in madagascar,center
405,aids orphans in malawi,center
406,aids orphans in mali,center
407,aids orphans in mozambique,center
408,aids orphans in namibia,center
409,aids orphans in niger,center
410,aids orphans in nigeria,center
411,aids orphans in senegal,center
412,aids orphans in sierra leone,center
413,aids orphans in somalia,center
414,aids orphans in south africa,center-bottom
415,aids orphans in sudan,center
416,aids orphans in swaziland,center-bottom
417,aids orphans in the central african republic,center
418,aids orphans in the ivory coast,center
419,aids orphans in uganda,center
420,aids orphans in zambia,center
421,aids orphans in zimbabwe,center
422,aids virus,center-bottom
423,air,top
424,airbus,center-top
425,airbus a380,center-bottom
426,airbus a380-800,bottom
427,airbus s.a.s.,top
428,airbus sas,top
429,aircraft,top
430,aircraft carrier,bottom
431,aircraft carriers,center-bottom
432,aircrafts,center
433,airship,center-top
434,airships,center-top
435,ajax,center
436,ajax interfaces,bottom
437,ak-47,center-bottom
438,akbar,top
439,akhenaten,center-top
440,akira kurosawa,top
441,akkadian empire,top
442,akrotiri and dhekelia,bottom
443,al,center
444,al jazeera,center-top
445,alan turing,center-bottom
446,albania,bottom
447,albania child sponsorship,center
448,albanian,top
449,albatross,center-bottom
450,albatrosses,center-bottom
451,albert,top
452,"albert edward, the prince of wales",center-top
453,albert einstein,bottom
454,alberto santos-dumont,center
455,albigensian crusade,top
456,albinism,center-bottom
457,albino,center-bottom
458,albrecht dürer,center
459,albums,top
460,alchemical,center-top
461,alchemist,top
462,alchemists,center-top
463,alchemy,top
464,alchemy in the greek world,center-top
465,alcibiades,center-top
466,alcl3,top
467,alco fa1,bottom
468,alcohol,center-top
469,alcoholic,top
470,alcohols,top
471,aleksandr pushkin,bottom
472,aleksandr vasilevsky,top
473,alesia,center-top
474,alexander,top
475,alexander bell,center
476,alexander graham bell,top
477,alexander hamilton,top
478,alexander pushkin,center-bottom
479,alexander the great,top
480,alexander the great's,center-top
481,alfred hitchcock,bottom
482,alfred nobel,bottom
483,alfred of wessex,center-bottom
484,alfred the great,center-top
485,algebra,top
486,algebraic,center
487,algebraic thinking,center
488,algebraically,top
489,algeria,bottom
490,algeria child sponsorship,center-bottom
491,algerian,top
492,algerian civil war,center-top
493,algiers,center
494,algol,top
495,algorithm,top
496,algorithms,top
497,alice,center
498,alice in wonderland,center
499,alice stories,center
500,alice's adventures in wonderland,center-bottom
501,alien,top
502,aliens,top
503,all black,top
504,all blacks,bottom
505,all the upcoming events,center
506,all you need is love,top
507,allah,bottom
508,allegorization,center-top
509,allergic asthma,center
510,allied landings,top
511,alligators,top
512,alliterative,top
513,alliterative verse,top
514,allosaurus,center-bottom
515,allosaurus fragilis,bottom
516,alloy steel,center
517,alma-ata,top
518,almaty,center
519,almond,top
520,almonds,center
521,alpaca,center-bottom
522,alpha world cities,top
523,alpha world full service city,top
524,alphabet,top
525,alphabetic,top
526,alphabetically,center
527,alphabets,top
528,alteration,center
529,alternating,center-top
530,alternating current,top
531,alternation of generations,top
532,alternative,center
533,alternative rock,bottom
534,aluminium,top
535,aluminium alloy,center-bottom
536,aluminium chloride,center
537,alzheimer's disease,top
538,am,center
539,amarillo,center-bottom
540,"amarillo, texas",center
541,amazigh,top
542,amazon,top
543,amazon basin,top
544,amazon rainforest,top
545,amazon river,top
546,amazonia,center
547,amazonian forests,top
548,amazonian jungle,center-top
549,amazons,center-bottom
550,amber,top
551,ame,top
552,america,top
553,america's,center-bottom
554,american,top
555,american civil war,top
556,american civilization,top
557,american english,top
558,american film industry,center
559,american football,bottom
560,american music,top
561,american poet,top
562,american politician,top
563,american popular music,top
564,american president,center
565,american revolution,top
566,american revolutionary war,top
567,american samoa,top
568,american south,top
569,american transcontinental railroad,center-top
570,american war in vietnam,top
571,american war of independence,center-top
572,americans,center
573,americas,center-top
574,americium,center-top
575,amiens,bottom
576,amish,center-bottom
577,ammolite,bottom
578,ammonia,bottom
579,ammonite,bottom
580,ammonites,center
581,ammonium sulphate,center-bottom
582,ammonoids,center
583,ammosaurus,top
584,amsterdam,center
585,amtrak,bottom
586,amtrak's,bottom
587,amur,center
