,link,#_clicks,most_freq_positioning
0,áedán mac gabráin,0.0,top
1,åland,1.0,bottom
2,édouard manet,1.0,center-bottom
3,éire,4.0,top
4,óengus i of the picts,0.0,bottom
5,€2 commemorative coins,0.0,bottom
6,10th century,22.0,top
7,11th century,10.0,top
8,12th century,17.0,top
9,13th century,24.0,top
10,14th century,32.0,top
11,15th marine expeditionary unit,0.0,bottom
12,15th century,40.0,top
13,16 cygni,1.0,bottom
14,16 cygni bb,1.0,bottom
15,16th century,46.0,top
16,1755 lisbon earthquake,4.0,center-bottom
17,17th century,38.0,top
18,1896 summer olympics,18.0,top
19,18th century,62.0,top
20,1928 okeechobee hurricane,4.0,center-top
21,1973 oil crisis,5.0,center
22,1980 eruption of mount st. helens,2.0,center
23,1997 pacific hurricane season,0.0,bottom
24,19th century,149.0,top
25,1 ceres,42.0,center-top
26,1st century,12.0,top
27,1st century bc,22.0,center-top
28,2-6-0,3.0,center
29,2-8-0,1.0,bottom
30,2003 atlantic hurricane season,6.0,top
31,2004 atlantic hurricane season,13.0,top
32,2004 indian ocean earthquake,11.0,bottom
33,2005 atlantic hurricane season,17.0,top
34,2005 hertfordshire oil storage terminal fire,1.0,bottom
35,2005 kashmir earthquake,3.0,center-bottom
36,2005 lake tanganyika earthquake,0.0,bottom
37,2005 sumatra earthquake,3.0,top
38,20th century,168.0,top
39,21st century,28.0,center
40,2nd century,8.0,top
41,3 juno,10.0,center-top
42,3rd century,10.0,bottom
43,4-2-0,3.0,center-top
44,4-4-0,5.0,bottom
45,4-6-0,2.0,center-top
46,47 ursae majoris,1.0,top
47,47 ursae majoris b,1.0,center
48,47 ursae majoris c,2.0,center-bottom
49,4 vesta,10.0,center-top
50,4th century,8.0,top
51,55 cancri,3.0,center
52,55 cancri b,1.0,center-top
53,55 cancri c,1.0,center
54,55 cancri d,1.0,center-bottom
55,55 cancri e,2.0,bottom
56,5th century,17.0,top
57,6-2-0,5.0,bottom
58,6th century,11.0,top
